Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded
BELLY SLIDERS,2 sliders,"",Uncategorized,1,$9.98,0,$0.00,$0.00,$9.98,$0.95,ea,1,0
BBQ dipping sauce,Regular,"",Condiments,3,$2.55,0,$0.00,$0.00,$2.55,$0.00,ea,3,0
SIGNATURE BBQ SAUCE,Regular,"",Condiments,2,$1.70,0,$0.00,$0.00,$1.70,$0.16,ea,2,0
BELLY SLIDERS,4 sliders,"",Mains,2,$30.84,0,$0.00,$0.00,$30.84,$2.69,ea,2,0
BELLY SLIDERS,6 sliders,"",Mains,1,$22.15,0,$0.00,$0.00,$22.15,$2.10,ea,1,0
GET YOUR BABY BACK!,Full Rack,"",Mains,6,$212.63,-1,-$35.78,$0.00,$176.85,$16.28,ea,6,-1
GET YOUR BABY BACK!,Half rack,"",Mains,3,$74.17,0,$0.00,$0.00,$74.17,$7.05,ea,3,0
THE BABY BACK COMBO,Crinkle Fries- Rosemary Pepper,"",Mains,1,$21.34,-1,-$21.34,$0.00,$0.00,$0.00,ea,1,-1
“Get your baby back” Pork Ribs,Full Rack,"",Mains,2,$69.86,0,$0.00,$0.00,$69.86,$0.00,ea,2,0
CRINKLE FRIES,"Full, Rosemary pepper","",Sides,1,$8.49,0,$0.00,$0.00,$8.49,$0.81,ea,1,0
CRINKLE FRIES,"Full, Truffle salt","",Sides,2,$17.83,-1,-$8.49,$0.00,$9.34,$0.89,ea,2,-1
French fries,"Rosemary, Full","",Sides,2,$17.00,0,$0.00,$0.00,$17.00,$0.00,ea,2,0
French fries,"Rosemary, Side","",Sides,1,$4.75,0,$0.00,$0.00,$4.75,$0.00,ea,1,0
MAC&CHEESE,8 oz.,"",Sides,3,$14.97,0,$0.00,$0.00,$14.97,$1.42,ea,3,0
MAC&CHEESE,Full,"",Sides,1,$8.49,0,$0.00,$0.00,$8.49,$0.81,ea,1,0
PINEAPPLE SLAW,8 oz.,"",Sides,1,$8.49,0,$0.00,$0.00,$8.49,$0.81,ea,1,0
PINEAPPLE SLAW,Full,"",Sides,2,$16.98,-1,-$8.49,$0.00,$8.49,$0.80,ea,2,-1
Pineapple Coleslaw,4 oz.,"",Sides,1,$5.29,0,$0.00,$0.00,$5.29,$0.00,ea,1,0
